date,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2/29/20,0,0,1,0,0
3/1/20,0,0,0,0,0
3/2/20,0,0,0,0,0
3/3/20,0,0,0,1,0
3/4/20,0,1,2,2,0
3/5/20,0,3,0,0,0
3/6/20,2,1,3,1,1
3/7/20,0,2,1,3,1
3/8/20,3,5,6,6,1
3/9/20,4,16,24,10,3
3/10/20,8,11,24,24,2
3/11/20,19,31,62,40,3
3/12/20,29,96,137,80,13
3/13/20,79,166,182,166,26
3/14/20,86,163,176,194,23
3/15/20,119,433,206,230,47
3/16/20,305,740,457,528,91
3/17/20,343,783,567,651,108
3/18/20,482,966,538,834,150
3/19/20,623,1204,556,1065,258
3/20/20,723,1137,653,1184,310
3/21/20,490,554,399,947,248
3/22/20,494,756,317,696,317
3/23/20,730,910,531,1190,209
3/24/20,927,1212,620,1391,350
3/25/20,1068,1254,586,1572,394
3/26/20,998,1375,627,1642,404
3/27/20,1090,1424,656,1576,371
3/28/20,762,863,388,1201,266
3/29/20,700,1149,406,1076,230
3/30/20,1314,1754,805,1858,398
3/31/20,1282,1513,617,1810,237
4/1/20,1240,1589,573,1783,263
4/2/20,1291,1611,652,1824,369
4/3/20,1450,1440,672,1762,345
4/4/20,1011,921,385,1201,345
4/5/20,823,1141,358,1135,323
4/6/20,1514,1463,721,1926,730
4/7/20,1463,1395,606,1948,630
4/8/20,1305,1310,546,1856,562
4/9/20,1285,1370,558,1561,298
4/10/20,1227,1151,496,1335,301
4/11/20,999,1129,304,989,311
4/12/20,763,702,252,917,253
4/13/20,692,1066,394,975,185
4/14/20,1076,1037,441,1300,290
4/15/20,1068,882,429,1179,317
4/16/20,940,884,356,1140,211
4/17/20,916,959,330,1099,280
4/18/20,552,575,187,705,153
4/19/20,532,635,177,868,134
4/20/20,981,983,381,1223,224
4/21/20,641,896,373,937,216
4/22/20,927,854,383,1109,173
4/23/20,735,785,400,793,128
4/24/20,580,630,408,774,143
4/25/20,418,404,145,540,88
4/26/20,196,332,98,331,46
4/27/20,550,608,303,721,106
4/28/20,668,711,322,896,130
4/29/20,556,681,287,692,124
4/30/20,482,600,217,593,130
5/1/20,449,497,243,620,78
5/2/20,263,263,138,333,61
5/3/20,153,247,103,249,35
5/4/20,348,462,214,437,89
5/5/20,294,433,243,462,80
5/6/20,279,450,165,444,60
5/7/20,298,404,119,358,60
5/8/20,250,344,99,346,42
5/9/20,175,119,75,256,32
5/10/20,75,188,95,85,14
5/11/20,226,410,192,376,27
5/12/20,355,400,163,314,53
5/13/20,461,362,157,307,47
5/14/20,255,333,149,331,42
5/15/20,180,260,134,266,33
5/16/20,108,165,51,136,25
5/17/20,56,138,50,106,10
5/18/20,187,266,130,274,38
5/19/20,182,327,166,286,42
5/20/20,278,323,165,255,56
5/21/20,199,336,145,311,78
5/22/20,264,350,152,239,32
5/23/20,90,143,49,137,37
5/24/20,101,161,69,121,15
5/25/20,103,160,70,115,17
5/26/20,284,318,126,267,58
5/27/20,182,246,108,165,43
5/28/20,118,222,98,178,30
5/29/20,164,166,73,212,27
5/30/20,80,105,39,109,15
5/31/20,30,84,25,79,12
6/1/20,158,252,77,157,42
6/2/20,122,182,71,163,34
6/3/20,113,133,75,148,45
6/4/20,127,130,88,148,30
6/5/20,108,131,53,103,8
6/6/20,50,59,33,98,7
6/7/20,43,52,24,74,4
6/8/20,97,112,75,147,19
6/9/20,84,121,67,130,19
