BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE ,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,23,,A1,408 EAST 179TH STREET,,10457,1,0,1,"1,842","2,048",1901,1,A1,0,1/20/21
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,24,,A1,410 EAST 179TH STREET,,10457,1,0,1,"1,842","2,048",1901,1,A1,"600,000",1/15/21
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3029,36,,A5,418 EAST 180 STREET,,10457,1,0,1,"1,568","1,526",1899,1,A5,0,7/9/20
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,67,,A1,4451 PARK AVENUE,,10457,1,0,1,"1,646","1,495",1899,1,A1,"475,000",7/23/20
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3045,12,,A1,2052 BATHGATE AVENUE,,10457,1,0,1,"2,340","1,516",1910,1,A1,"289,000",8/25/20
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,52,,B3,2047 BATHGATE AVENUE,,10457,2,0,2,"2,329","1,431",1901,1,A1,"526,000",9/22/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,118,,B1,1540 WASHINGTON AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,6/24/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,131,,B1,1465 CROTONA PLACE,,10456,2,0,2,"1,900","2,394",1994,1,B1,0,8/27/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,3854 3 AVENUE,,10457,2,0,2,"2,883","2,394",1995,1,B1,0,4/6/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,"2,000","2,364",1899,1,B2,"734,000",4/22/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,136,,B1,1991 WASHINGTON AVENUE,,10457,2,0,2,"2,910","3,240",1998,1,B1,0,8/24/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,3,,B2,4386 PARK AVENUE,,10457,2,0,2,"1,144","2,889",1899,1,B2,"15,000",2/3/21
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,4,,B2,4388 PARK AVENUE,,10457,2,0,2,"2,275","1,548",1899,1,B2,0,2/3/21
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,32,,B3,455 EAST 180 STREET,,10457,2,0,2,"1,826","1,296",1899,1,B3,"455,000",7/9/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,44,,B1,444 EAST 186 STREET,,10458,2,0,2,"2,000","2,060",1901,1,B1,"385,000",2/16/21
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3041,7,,S2,444 CYRUS PLACE,,10458,2,1,3,"2,467","1,900",1910,1,S2,"412,500",12/9/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,16,,B3,2060 BATHGATE AVENUE,,10457,2,0,2,"1,429","1,872",1910,1,B3,"600,000",3/12/21
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,5,,B1,2024 WASHINGTON AVE,,10457,2,0,2,"1,907","2,901",2000,1,B1,"625,000",9/3/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3047,17,,B3,2123 BATHGATE AVE,,10457,2,0,2,"2,500","1,404",1901,1,B3,"629,000",4/24/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,79,,B2,2259 BATHGATE AVENUE,,10457,2,0,2,"2,018","1,562",1901,1,B2,0,2/4/21
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,90,,B2,505 EAST 182 STREET,,10457,2,0,2,"1,960","2,278",1901,1,B2,0,6/26/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,4,,B1,507 EAST 183RD STREET,,10458,2,0,2,"1,380","2,805",1901,1,B1,0,10/22/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,4,,B1,507 E 183RD STREET,,10458,2,0,2,"1,380","2,805",1901,1,B1,0,1/25/21
