BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6359,70,,S1,8684 15TH AVENUE,,11228,1,1,2,"1,933","4,080",1930,1,S1,"1,300,000",4/28/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,56,,A5,30 BAY 10TH STREET,,11228,1,0,1,"1,547","1,428",1930,1,A5,"75,000",11/30/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6362,23,,A9,43 BAY 11TH STREET,,11228,1,0,1,"2,280","1,052",1901,1,A9,0,11/4/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,24,,A9,8645 BAY 16TH STREET,,11214,1,0,1,"1,571","1,456",1935,1,A9,"830,000",6/26/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371,60,,A9,8620 19TH AVENUE,,11214,1,0,1,"2,417","2,106",1930,1,A9,"1,188,000",7/20/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6380,73,,S1,8672 BAY PARKWAY,,11214,1,1,2,"1,740","2,124",1960,1,S1,"990,000",2/22/21
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392,115,,A5,145 BAY 7TH STREET,,11228,1,0,1,"1,448","1,280",1945,1,A5,"870,000",10/15/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,13,,A1,155 BAY 14TH ST,,11214,1,0,1,"3,680",936,1930,1,A1,"1,250,000",12/23/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,40,,A9,106 BAY 25TH STREET,,11214,1,0,1,"1,740","1,382",1915,1,A9,"805,000",12/2/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6414,38,,S1,2150 BENSON AVENUE,,11214,1,1,2,"3,866","4,870",1921,1,S1,0,10/14/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,8,,A5,239 BAY 11TH STREET,,11228,1,0,1,"1,800","1,296",1935,1,A5,0,1/21/21
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6431,56,,A5,200 BAY 14TH STREET,,11214,1,0,1,"2,086","1,458",1910,1,A5,0,10/27/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6433,10,,A5,1703 CROPSEY AVENUE,,11214,1,0,1,"1,438","1,568",1937,1,A5,"760,000",6/29/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,130,,S1,2006 BATH AVE,,11214,1,1,2,755,"1,254",1925,1,S1,"800,000",7/22/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6459,77,,A5,8928 15 AVENUE,,11228,1,0,1,"1,933","2,100",1910,1,A5,"1,059,000",3/23/21
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,203,,A5,8846 16TH AVENUE,,11214,1,0,1,"1,937","1,240",1950,1,A5,"882,000",1/21/21
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,231,,A1,8904 16TH AVENUE,,11214,1,0,1,"1,980","1,188",1950,1,A1,"820,910",6/24/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,90,,A5,283 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,0,11/10/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,95,,A5,271 BAY 14TH STREET,,11214,1,0,1,"1,795","1,204",1930,1,A5,0,11/16/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,136,,A5,322 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,"740,000",11/5/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,220,,A5,8933 16TH AVENUE,,11214,1,0,1,"2,105","1,240",1940,1,A5,"740,000",10/7/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,246,,A5,278 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"750,000",8/26/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,247,,A5,280 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"725,000",2/23/21
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6463,126,,A5,8851 18TH AVENUE,,11214,1,0,1,"1,389",992,1950,1,A5,0,7/10/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6464,113,,A5,287 BAY 20TH STREET,,11214,1,0,1,"1,551","1,320",1940,1,A5,"800,000",8/7/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,93,,A5,241 BAY 23RD STREET,,11214,1,0,1,"1,783","1,120",1945,1,A5,"745,000",12/11/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6480,36,,A5,8980 15TH AVENUE,,11228,1,0,1,"1,740","1,863",1950,1,A5,"995,000",12/1/20
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,14,,B1,8645 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,280,000",8/18/20
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,52,,B1,40 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,6/2/20
