BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE ,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,374,46,,A4,347 EAST 4TH STREET,,10009,1,0,1,"2,116","4,400",1900,1,A4,"2,385,000",2/9/21
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,377,72,,B9,231 EAST 7TH,,10009,2,0,2,"1,718","5,154",1901,1,B9,0,10/2/20
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,66,,C0,243 EAST 7TH STREET,,10009,3,0,3,"2,381","3,084",1899,1,C0,0,10/31/20
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,66,,C0,243 EAST 7TH STREET,,10009,3,0,3,"2,381","3,084",1899,1,C0,"4,350,000",7/16/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,372,10,,C7,274 EAST 3RD,,10009,9,1,10,"2,021","6,445",1900,2,C7,0,12/27/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,374,1,,C7,301-303 EAST 4TH STREET,,10009,8,2,10,"1,501","6,929",1900,2,C7,"3,672,530",11/24/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,28,,C4,272 EAST 7TH STREET,,10009,24,0,24,"2,764","13,206",1900,2,C4,1,6/26/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,54,,C4,"719 EAST 6TH STREET, 5D",,10009,20,0,20,"2,302","9,750",1900,2,C4,"249,508",6/3/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,384,6,,C4,9 AVENUE B,,10009,8,1,9,"1,587","6,055",1900,2,C4,"1,250,000",6/16/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,384,7,,C7,11 AVENUE B,,10009,8,1,9,"1,586","6,000",1900,2,C7,"1,250,000",6/16/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,390,57,,C7,197 EAST 7TH STREET,,10009,10,1,11,"1,600","5,320",1910,2,C7,"3,425,000",2/11/21
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,393,37,,C7,"167 AVENUE C, 3B",,10009,8,2,10,"1,920","7,485",1920,2,C7,"20,661",9/1/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,393,37,,C7,"167 AVENUE C, 2A",,10009,8,2,10,"1,920","7,485",1920,2,C7,"37,189",9/1/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,395,6,,C7,205 AVENUE B,,10009,11,1,12,"2,232","6,432",1910,2,C7,0,10/21/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,400,42,,C7,231-233 EAST 4TH STREET,,10009,22,2,24,"4,664","15,460",1890,2,C7,"2,500,000",6/16/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,401,13,,C4,506 EAST 6TH STREET,,10009,14,0,14,"2,426","6,825",1920,2,C4,"3,950,000",8/24/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,404,52,,C2,307 EAST 10TH STREET,,10009,5,0,5,"2,863","5,500",1900,2,C2,"7,000,000",10/22/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,20,,C4,528 EAST 13TH STREET,,10009,20,0,20,"2,581","10,375",1900,2,C4,0,10/21/20
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,407,54,,C7,513 EAST 13TH STREET,,10009,27,2,29,"3,872","16,000",1900,2,C7,"2,800,000",9/9/20
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,392,43,,D3,N/A EAST 9TH STREET,,10009,14,0,14,"2,768","14,572",2019,2,D3,0,5/20/20
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,396,29,,D6,644 EAST 14TH STREET,,10009,50,2,52,"10,098","66,043",2017,2,D6,"31,289,811",4/29/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,49,,C6,"311 EAST 3RD STREET, 12",,10009,,,,,,1920,2,C6,"500,000",11/24/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,16,,C6,"248 EAST 7TH STREET, 24",,10009,,,,,,1928,2,C6,"510,000",11/25/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,16,,C6,"248 EAST 7TH STREET, 3-4",,10009,,,,,,1928,2,C6,"560,000",5/26/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,18,,C6,"252 EAST 7TH STREET, 5-6",,10009,,,,,,1928,2,C6,"1,350,000",6/16/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,18,,C6,"252 EAST 7TH STREET, 21/22",,10009,,,,,,1928,2,C6,"1,150,000",9/22/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,62,,C6,"249 EAST 7TH STREET, 11",,10009,,,,,,2001,2,C6,"1,185,000",3/23/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,67,,C6,"241 EAST 7 STREET, 2C",,10009,,,,,,1900,2,C6,"409,000",1/6/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,67,,C6,"241 EAST 7TH, 6B",,10009,,,,,,1900,2,C6,"481,000",10/26/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,387,37,,C6,"55 AVENUE C, 5",,10009,,,,,,1900,2,C6,"799,000",11/20/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,30,,C6,"224 EAST 7TH STREET, 18",,10009,,,,,,1950,2,C6,"495,000",3/17/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,54,,C6,"613 EAST 6TH STREET, 2B",,10009,,,,,,1920,2,C6,"720,000",5/15/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,390,42,,C6,"219 EAST 7TH STREET, 12",,10009,,,,,,1910,2,C6,"490,000",10/14/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,3,,C6,"131 AVENUE B, 5B",,10009,,,,,,1940,2,C6,"1,424,500",1/25/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,21,,C6,"628 EAST 9TH STREET, 4CD5D",,10009,,,,,,1910,2,C6,"700,000",11/12/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,48,,C6,"323 EAST 8TH STREET, 6B",,10009,,,,,,1910,2,C6,"590,000",7/1/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,48,,C6,"323 EAST 8TH STREET, 1CG",,10009,,,,,,1910,2,C6,"999,000",9/10/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,56,,C6,"307 EAST 8TH STREET, 5C5D",,10009,,,,,,1900,2,C6,"1,650,000",2/16/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,57,,C6,"303 EAST 8TH STREET, 4R",,10009,,,,,,1900,2,C6,"1,450,000",7/8/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,392,36,,C6,"149 AVENUE C, STORE",,10009,,,,,,1900,2,C6,"438,000",3/4/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,393,51,,C6,"367 EAST 10TH STREET, 13",,10009,,,,,,1900,2,C6,0,6/2/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,394,52,,C6,"633 EAST 11TH STREET, 24",,10009,,,,,,1937,2,C6,"359,000",5/18/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,397,11,,C6,"155 EAST 2ND STREET, 2D",,10009,,,,,,1900,2,C6,"340,000",11/10/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,400,45,,C6,"225 EAST 4TH STREET, 12",,10009,,,,,,1937,2,C6,"625,000",9/22/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,402,39,,C6,"102 AVENUE B, 2",,10009,,,,,,1900,2,C6,"1,115,000",1/7/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,402,48,,C6,"535 EAST 6TH STREET, 4A",,10009,,,,,,1900,2,C6,"450,000",4/10/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,402,49,,C6,"533 EAST 6TH STREET, 2",,10009,,,,,,1900,2,C6,"1,190,000",11/23/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,404,21,,C6,"534 EAST 11 STREET, 5",,10009,,,,,,1920,2,C6,"361,000",3/25/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,404,26,,C6,"544 EAST 11TH STREET, 1B",,10009,,,,,,1928,2,C6,"1,075,000",9/22/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,405,51,,C6,"519 EAST 11TH STREET, 5W",,10009,,,,,,1910,2,C6,"2,500",10/26/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,405,51,,C6,"519 EAST 11TH ST, 5E",,10009,,,,,,1910,2,C6,"2,500",10/26/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,406,61,,C6,"507 EAST 12TH STREET, 2A",,10009,,,,,,1900,2,C6,"601,000",6/11/20
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,2,386,36,,D0,"300 EAST 4TH STREET, 1A",,10009,,,,,,1940,2,D0,"1,200,000",5/27/20
